Frame 0
Iteration 307: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 308: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 309: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 310: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 311: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 312: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 313: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 314: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 315: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 316: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 317: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 318: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 319: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 320: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 321: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 322: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 323: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 324: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 325: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 326: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 327: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 328: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 329: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 330: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 331: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 332: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 333: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 334: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 335: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 336: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 337: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 338: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 339: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 340: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 341: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 342: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 343: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 344: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 345: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 346: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 347: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 348: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 349: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 350: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 351: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 352: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 353: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 354: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 355: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 356: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 357: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 358: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 359: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 360: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 361: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 362: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 363: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 364: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 365: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 366: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 367: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 368: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 369: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 370: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 371: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 372: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 373: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 374: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 375: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 376: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 377: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 378: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 379: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 380: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 381: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 382: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 383: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 384: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 385: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 386: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 387: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 388: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 389: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 390: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 391: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 392: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 393: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 394: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 395: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 396: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 397: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 398: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 399: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 400: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 401: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 402: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 403: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 404: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 405: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 406: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 407: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 408: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 409: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 410: Reprojection Error: 0.0770, Photometric Error: 0.0673
